,Coin,symbol,Price,Change_1hr,Change_24hr,Change_7d,Volume_24hr,Market_Cap
0,Bitcoin,BTC,28345.76,-0.006,0.051,0.003,21587966532.0,548268213458.0
1,Ethereum,ETH,1800.3,-0.009000000000000001,0.034,-0.006,11418634047.0,216937562580.0
2,Tether,USDT,1.0,0.0,0.002,-0.005,33872651400.0,79618170084.0
3,BNB,BNB,315.1,-0.008,0.01,-0.065,718033032.0,49735295066.0
4,USD Coin,USDC,1.0,-0.002,-0.001,-0.004,4524546441.0,33320513806.0
5,XRP,XRP,0.541054,-0.026000000000000002,0.08,0.149,5397116794.0,27995968996.0
6,Cardano,ADA,0.380836,-0.016,0.057,0.021,571016606.0,13354637328.0
7,Lido Staked Ether,STETH,1795.71,-0.009000000000000001,0.034,-0.006999999999999999,20152802.0,10565461987.0
8,Dogecoin,DOGE,0.075582664951,-0.011000000000000001,0.038,-0.023,525308455.0,10482533686.0
9,Polygon,MATIC,1.12,-0.018000000000000002,0.05,-0.039,499679296.0,10139433110.0
10,Solana,SOL,21.09,-0.012,0.04,-0.07200000000000001,472968907.0,8120549575.0
11,Binance USD,BUSD,1.0,-0.002,-0.001,-0.004,4163132932.0,7673082297.0
12,Polkadot,DOT,6.17,-0.011000000000000001,0.033,-0.037000000000000005,193946432.0,7513668698.0
13,Litecoin,LTC,90.82,-0.006,0.046,0.095,620258451.0,6600517602.0
14,Shiba Inu,SHIB,1.0659566e-05,-0.01,0.027999999999999997,-0.032,249912281.0,6285802518.0
15,TRON,TRX,0.064475516535,-0.006,0.012,-0.045,379126742.0,5872165316.0
16,Avalanche,AVAX,17.2,-0.009000000000000001,0.039,-0.02,212413905.0,5607757971.0
17,Dai,DAI,1.0,-0.0,0.001,-0.001,157459187.0,5108872974.0
18,Uniswap,UNI,5.96,-0.009000000000000001,0.040999999999999995,-0.078,70438289.0,4492873119.0
19,Wrapped Bitcoin,WBTC,28380.69,-0.006,0.049,0.004,187343442.0,4270337585.0
20,Chainlink,LINK,7.3,-0.008,0.064,-0.018000000000000002,322610669.0,3580410095.0
21,Cosmos Hub,ATOM,11.19,-0.012,-0.009000000000000001,-0.065,247099968.0,3276815488.0
22,LEO Token,LEO,3.41,-0.001,0.01,-0.021,581214.0,3171972021.0
23,Toncoin,TON,2.12,0.0,0.035,-0.124,28102327.0,3117721413.0
24,Ethereum Classic,ETC,20.58,-0.008,0.031,-0.023,137016586.0,2884955699.0
25,Monero,XMR,157.74,0.006999999999999999,0.021,0.027000000000000003,116222720.0,2860193403.0
26,Stellar,XLM,0.101793,-0.019,0.067,0.054000000000000006,244861340.0,2713155827.0
27,OKB,OKB,43.06,0.001,0.01,-0.053,39246314.0,2582771358.0
28,Bitcoin Cash,BCH,123.41,-0.006999999999999999,0.02,-0.083,142057884.0,2388118519.0
29,Filecoin,FIL,5.7,-0.016,0.055999999999999994,-0.045,232288891.0,2338539675.0
30,Lido DAO,LDO,2.41,-0.011000000000000001,0.127,-0.002,157262264.0,2076262087.0
31,Aptos,APT,11.51,-0.013000000000000001,0.037000000000000005,-0.067,120283346.0,2066609259.0
32,TrueUSD,TUSD,1.0,-0.002,-0.0,-0.005,664525705.0,2043410965.0
33,Hedera,HBAR,0.062442121743,-0.009000000000000001,0.059000000000000004,-0.032,45276812.0,1888835783.0
